#;Type;Category;Bezeichnung (Topic) DE;Bezeichnung (Topic) EN;Variable Downlink Encoder;Header Downlink (Hex);Register Number Modbus;Modbus Protocol Address Decimal;Infotext Deutsch;Infotext Englisch;Wertebereich;Min ;Max;Res
41;Runtime;Overwrite ;Vorgabe Regler;Controller Setting;overwrite_controller;10E;270;269;Reglermodus überschreiben. 0 = aus, 1 = Heizen Auto, 2= Kühlen Auto, 3= Auto,…..;Override controller mode. 0 = Off, 1 = Auto Heat, 2 = Auto Cool, 3 = Auto, …;-256…18;-256;18;1
42;Runtime;Overwrite ;Vorgabe Lüfterstufe;Fan Level Setting;fan_level_setting;10F;271;270;"Lüfterstufe vorgeben 0=aus; 1-4:Stufen; 1-100:%-Wert; -256:Auto";"Set fan speed: 0=off; 1-4:speeds; 1-100:percentage; -256:auto";-256…4;-256;4;1
43;Runtime;Overwrite ;Vorgabe Ausgang Heizen;Heating Output Setting;heating_output_setting;110;272;271;"Heizausgang vorgeben: 0-100-->0-10V; -1: inaktiv Ausgangssteuerung interner Regler";"Set heating output: 0-100-->0-10V; -1: inactive output control of internal controller";-1...100;-1;100;1
44;Runtime;Overwrite ;Vorgabe Ausgang Kühlen;Cooling Output Setting;cooling_output_setting;111;273;272;"Kühlausgang vorgeben: 0-100-->0-10V; -1: inaktiv Ausgangssteuerung interner Regler";"Set cooling output: 0-100-->0-10V; -1: inactive output control of internal controller";-1...100;-1;100;1
45;Runtime;Overwrite ;Vorgabe ECO-Modus übersteuern;ECO Mode Override;eco_mode_override;113;275;274;"Eco Modus vorgeben (0=Eco Modus deaktiviert; 1=Eco Modus aktiviert)";"Set Eco Mode (0 = Eco Mode disabled; 1 = Eco Mode enabled)";0...1;0;1;1
46;Runtime;Overwrite ;Vorgabe Ausgang 6-Wegeventil;6-Way Valve Output Setting;valve_6way_output_setting;112;274;273;"6WV-Ausgang vorgeben: 0-100-->0-10V; -1: inaktiv Ausgangssteuerung interner Regler";"Set 6WV output: 0-100 --> 0-10V; -1: inactive output control of internal controller";-1...100;-1;100;1
47;LoRaWAN ;Radio;Heartbeat;Heartbeat;heartbeat;C106;n.V.;n.V.;Heartbeat-Intervall in Minuten eintragen (z. B. 60 = alle 60 Minuten).;Enter heartbeat interval in minutes (e.g. 60 = every 60 minutes).;1...1440;1;1440;1
48;LoRaWAN ;Radio;Confirmation;Confirmation;confirmation;C21D;n.V.;n.V.;Bestätigungsmodus aktivieren. 0 = unbestätigt (Unconfirmed), 1 = bestätigt (Confirmed).;Enable confirmation mode. 0 = unconfirmed, 1 = confirmed.;0...1;0;1;1
49;LoRaWAN ;Radio;ADR;ADR;adr;C217;n.V.;n.V.;Adaptive Data Rate aktivieren. 0 = ADR deaktiviert, 1 = ADR aktiviert.;Enable Adaptive Data Rate. 0 = ADR disabled, 1 = ADR enabled.;0...1;0;1;1
50;LoRaWAN ;Radio;Data Rate;Data Rate;data_rate;C218;n.V.;n.V.;LoRaWAN Datenrate manuell einstellen (0-5, DR0 = SF12, DR5 = SF7).;Manually set LoRaWAN data rate (0-5, DR0 = SF12, DR5 = SF7).;0...5;0;5;1
51;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;
56;;;;;;;;;;;;;;
57;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;
62;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;
64;;;;;;;;;;;;;;
65;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;
67;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;
69;;;;;;;;;;;;;;
70;;;;;;;;;;;;;;
71;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;
73;;;;;;;;;;;;;;
74;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;
101;;;;;;;;;;;;;;
102;;;;;;;;;;;;;;
103;;;;;;;;;;;;;;
104;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;
107;;;;;;;;;;;;;;
108;;;;;;;;;;;;;;
109;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;
111;;;;;;;;;;;;;;
112;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;
114;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;
